	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4169	9943317A22231	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4170	10492670A22231	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4171	285724A22231	Proyectos	Consultor	Perú	Sin Version	Online Asincronica
4172	10232491A22231	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4173	10537158A22231	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4174	10254078A22231	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4175	10530143A21838	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4176	9854419A25413	Proyectos	Director/Presidente/CEO	Perú	Basica	Online Asincronica
4177	120593A25413	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4178	92790A24317	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4179	10109978A25413	Proyectos	Asistente	Perú	Basica	Online Asincronica
4180	153624A25413	Proyectos	Jefe	Perú	Basica	Online Asincronica
4181	9319041A25413	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4182	10599032A25413	Proyectos	Otros	Perú	Basica	Online Asincronica
4183	9781657A25413	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4184	9571808A25413	Proyectos	Funcionario Publico	Perú	Basica	Online Asincronica
4185	10557821A25413	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4186	10631078A25413	Proyectos	Coordinador	Perú	Basica	Online Asincronica
4187	56075A25413	Proyectos	Supervisor	Perú	Basica	Online Asincronica
4188	10072916A17739	Proyectos	Practicante	Perú	Sin Version	Online Asincronica
4189	63754A19562	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4190	10333664A22235	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4191	10340229A22235	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4192	10322131A22235	Proyectos		Perú	Sin Version	Online Asincronica
4193	10325799A22235	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4194	10327463A22235	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4195	10327756A22235	Proyectos	Jefe	Perú	Sin Version	Online Asincronica
4196	10327133A22235	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4197	9984772A22235	Proyectos	Asistente	Perú	Sin Version	Online Asincronica
4198	10259738A22235	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4199	10328495A22235	Proyectos	Practicante	Perú	Sin Version	Online Asincronica
4200	10314447A22235	Proyectos	Supervisor	Perú	Sin Version	Online Asincronica
4201	10097446A22235	Proyectos	Otros	Perú	Sin Version	Online Asincronica
4202	10337175A22235	Proyectos	Consultor	Perú	Sin Version	Online Asincronica
4203	10337352A22235	Proyectos	Encargado	Perú	Sin Version	Online Asincronica
4204	9566833A22235	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4205	9882152A22235	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4206	141045A22235	Proyectos	Coordinador	Perú	Sin Version	Online Asincronica
4207	5307A22235	Proyectos	Gerente de Área/Unidad	Perú	Sin Version	Online Asincronica
